Id Hora Altitud Acimut X Y
79 18 16.2205 273.938 -2.17279 -0.632099
79 19 3.12802 281.378 -0.745409 -0.0407355
171 7 10.1272 82.7209 1.17406 -0.209707
171 8 22.64 88.6913 6.49357 -2.70833
171 15 64.3861 279.085 -0.549138 -1.14543
171 16 51.2161 286.686 -0.404142 -0.502942
171 17 38.1061 292.592 -0.34119 -0.267586
171 18 25.1894 298.174 -0.281414 -0.13236
171 19 12.5939 304.034 -0.224135 -0.0500751
171 20 0.489934 310.624 -0.174862 -0.00149528
222 7 5.55999 89.5195 17.8834 -1.74088
222 16 49.1259 274.392 -1.60401 -1.85342
222 17 36.0116 282.735 -0.626878 -0.455648
222 18 22.8487 289.641 -0.41894 -0.176525
222 19 9.83464 296.23 -0.305353 -0.0529337
266 18 12.6499 275.81 -1.4727 -0.330535
