X Y
 -0.0278253 -0.141963
 -0.0429917 -0.109957
 -0.0493876 -0.0859143
 -0.0527344 -0.0729426
 0.0775039 -0.0613586
 0.101114 -0.0765383
 0.14846 -0.0935443
 0.222621 -0.101123
 0.336489 -0.0880343
 0.531468 -0.0333559
 -0.0288833 -0.143784
 -0.0442178 -0.11127
 -0.0506145 -0.0867464
 -0.0538475 -0.0733531
 0.0776961 -0.0624851
 0.101446 -0.0779868
 0.149447 -0.0955829
 0.225054 -0.10382
 0.34197 -0.0912838
 0.544859 -0.0364889
 -0.0289136 -0.148857
 -0.045241 -0.115065
 -0.0520997 -0.0892823
 -0.0551173 -0.0743471
 0.0769899 -0.0631673
 0.0994986 -0.0787164
 0.146738 -0.0973872
 0.222209 -0.107537
 0.339717 -0.09769
 0.544889 -0.0470741
 -0.0308494 -0.152228
 -0.0474846 -0.117462
 -0.054338 -0.0907728
 -0.0571196 -0.0750459
 0.0772545 -0.0651382
 0.099971 -0.0812464
 0.148353 -0.101024
 0.226429 -0.112474
 0.349566 -0.103843
 0.569887 -0.0534921
 -0.0316795 -0.159116
 -0.049507 -0.122527
 -0.0568707 -0.0941231
 -0.0593449 -0.0764646
 0.0766848 -0.0666507
 0.0981155 -0.0829214
 0.146092 -0.104236
 0.225041 -0.11828
 0.351143 -0.113134
 0.580491 -0.0677221
 -0.000173024 -0.213595
 -0.0346003 -0.164218
 -0.0528719 -0.12607
 -0.0601973 -0.0962541
 -0.0622558 -0.077377
 0.0768975 -0.0694097
 0.0985696 -0.0864695
 0.148179 -0.10951
 0.231025 -0.125719
 0.365921 -0.122875
 0.620718 -0.0789944
 -0.00257491 -0.222175
 -0.0380998 -0.170212
 -0.05686 -0.13016
 -0.0640946 -0.0986444
 -0.0656101 -0.0783201
 0.0770157 -0.0725425
 0.0989753 -0.0905468
 0.150539 -0.115706
 0.238134 -0.134653
 0.384122 -0.134922
 0.673253 -0.0937574
 -0.00546933 -0.232272
 -0.0422372 -0.177155
 -0.0615171 -0.134807
 -0.068587 -0.101273
 -0.0694032 -0.0792559
 0.0769936 -0.0760223
 0.0992898 -0.0951426
 0.153159 -0.122881
 0.24649 -0.145267
 0.406439 -0.14975
 0.742625 -0.113297
 -0.00893071 -0.244064
 -0.047082 -0.185118
 -0.0668953 -0.140023
 -0.0737011 -0.10412
 -0.0736284 -0.0801472
 0.0767847 -0.0798153
 0.0994699 -0.100243
 0.156035 -0.131098
 0.256257 -0.157797
 0.433843 -0.168015
 0.836236 -0.139711
 -0.0130493 -0.25777
 -0.0527153 -0.194188
 -0.0730539 -0.14583
 -0.0794668 -0.10717
 -0.0782773 -0.0809592
 0.0763445 -0.0838805
 0.0994739 -0.105831
 0.159169 -0.14044
 0.267661 -0.172548
 0.467721 -0.190644
 0.966986 -0.17664
 -0.0179352 -0.273672
 -0.0592322 -0.204476
 -0.0800604 -0.15226
 -0.085918 -0.110415
 -0.0833407 -0.081662
 0.0756321 -0.0881699
 0.0992644 -0.111887
 0.16258 -0.151009
 0.281006 -0.189919
